,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
2854,2854,Happy Death Day 2U,(2019),6.2,57        ,40106,"28,051,045","
Comedy, Horror, Mystery            ",tt8155288
2855,2855,Grosse Pointe Blank,(1997),7.3,76        ,83685,"28,014,536","
Action, Comedy, Crime            ",tt0119229
2856,2856,Slap Shot,(1977),7.3,61        ,32523,"28,000,000","
Comedy, Drama, Sport            ",tt0076723
2857,2857,Loaded Weapon 1,(1993),6.2,no,42366,"27,979,400","
Action, Comedy, Crime            ",tt0107659
2858,2858,Out to Sea,(1997),6.1,49        ,7464,"27,974,168","
Comedy, Romance            ",tt0119848
2859,2859,The Hindenburg,(1975),6.3,no,4759,"27,945,225","
Adventure, Drama, History            ",tt0073113
2860,2860,The Rescuers Down Under,(1990),6.9,70        ,34980,"27,931,461","
Animation, Adventure, Crime            ",tt0100477
2861,2861,Menace II Society,(1993),7.5,76        ,47756,"27,900,000","
Crime, Drama, Thriller            ",tt0107554
2862,2862,Beastly,(2011),5.6,40        ,73381,"27,865,571","
Drama, Fantasy, Romance            ",tt1152398
2863,2863,Moonlight,(I) (2016),7.4,99        ,238216,"27,850,912","
Drama            ",tt4975722
2864,2864,Crank,(2006),6.9,57        ,224826,"27,829,874","
Action, Crime, Thriller            ",tt0479884
2865,2865,Soul Man,(1986),5.2,33        ,7168,"27,820,000","
Comedy, Romance            ",tt0091991
2866,2866,The Majestic,(2001),6.9,27        ,50305,"27,807,266","
Drama, Romance            ",tt0268995
2867,2867,The Other Sister,(1999),6.5,28        ,11478,"27,797,271","
Comedy, Drama, Romance            ",tt0123209
2868,2868,Logan Lucky,(2017),7.0,78        ,110827,"27,780,977","
Comedy, Crime, Drama            ",tt5439796
2869,2869,Rings,(2017),4.5,25        ,35206,"27,780,085","
Drama, Horror, Mystery            ",tt0498381
2870,2870,The Edge,(1997),6.9,no,64497,"27,779,888","
Action, Adventure, Drama            ",tt0119051
2871,2871,Teachers,(1984),6.1,no,3655,"27,774,237","
Comedy, Drama            ",tt0088242
2872,2872,The Switch,(I) (2010),6.1,52        ,92016,"27,758,465","
Comedy, Drama, Romance            ",tt0889573
2873,2873,Sinister 2,(2015),5.3,32        ,43909,"27,736,779","
Horror, Mystery, Thriller            ",tt2752772
2874,2874,Internal Affairs,(1990),6.5,63        ,15998,"27,734,391","
Crime, Drama, Thriller            ",tt0099850
2875,2875,Oculus,(I) (2013),6.5,61        ,109433,"27,695,246","
Horror, Mystery            ",tt2388715
2876,2876,Saw VI,(2009),6.0,30        ,95420,"27,693,292","
Horror, Mystery, Thriller            ",tt1233227
